Tipo de asistencia;cantidad;mes;ano
Deambulando y Expuestos a peligros;16;Septiembre;2020
Entregados a sus familiares;7;Septiembre;2020
Enviado a Hogares de CONANI u ONG;0;Septiembre;2020
Referido a Fiscalia NNAs;0;Septiembre;2020
Trabajo Infantil;7;Septiembre;2020
Asistencia Diaria, Nivelacion Escolar;0;Septiembre;2020
Encaminados a sus hogares;9;Septiembre;2020
Deambulando y Expuestos a peligros;22;Octubre;2020
Entregados a sus familiares;17;Octubre;2020
Enviado a Hogares de CONANI u ONG;0;Octubre;2020
Referido a Fiscalia NNAs;0;Octubre;2020
Trabajo Infantil;5;Octubre;2020
Asistencia Diaria, Nivelacion Escolar;5;Octubre;2020
Encaminados a sus hogares;5;Octubre;2020
Deambulando y Expuestos a peligros;15;Noviembre;2020
Entregados a sus familiares;14;Noviembre;2020
Enviado a Hogares de CONANI u ONG;0;Noviembre;2020
Referido a Fiscalia NNAs;0;Noviembre;2020
Trabajo Infantil;15;Noviembre;2020
Asistencia Diaria, Nivelacion Escolar;0;Noviembre;2020
Encaminados a sus hogares;1;Noviembre;2020
Deambulando y Expuestos a peligros;5;Diciembre;2020
Entregados a sus familiares;2;Diciembre;2020
Enviado a Hogares de CONANI u ONG;0;Diciembre;2020
Referido a Fiscalia NNAs;0;Diciembre;2020
Trabajo Infantil;5;Diciembre;2020
Asistencia Diaria, Nivelacion Escolar;0;Diciembre;2020
Encaminados a sus hogares;1;Diciembre;2020
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
